,評等,評語
3263,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3264,4.0,隱身在飯店裡面的一間燒肉店，有和式的座位，還有可以暢飲的雞湯，好喝，肉也好吃。
3265,4.0,東西好吃平價服務超好
3266,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3267,3.0,電話可以掛好嗎 拜託 我只是想打通電話而已
3268,4.0,來台中必吃，兩人套餐份量好多，吃超飽！
3269,4.0,價錢稍貴 服務非常好 肉質鮮嫩
3270,4.0,食材新鮮服務貼心
3271,5.0,"臺中的預約名店,一定要來吃阿!"
3272,5.0,(由 Google 提供翻譯) 海鮮粥真材實料，幹貝大又肥美，肉軟嫩鮮甜，原本還以為會吃不飽，結果又是雞湯又是飲料，還有甜點...真的滿到喉嚨了，服務員很勤勞的一直整理桌面，難怪不用放小垃圾桶，還會幫忙剝蝦，👍 …更多(由 Google 提供翻譯) 海鮮粥真材實料，幹貝大又肥美，肉軟嫩鮮甜，原本還以為會吃不飽，結果又是雞湯又是飲料，還有甜點...真的滿到喉嚨了，服務員很勤勞的一直整理桌面，難怪不用放小垃圾桶，還會幫忙剝蝦，👍(原始評論)海鮮粥真材實料，干貝大又肥美，肉軟嫩鮮甜，原本還以為會吃不飽，結果又是雞湯又是飲料，還有甜點...真的滿到喉嚨了，服務員很勤勞的一直整理桌面，難怪不用放小垃圾桶，還會幫忙剝蝦，👍
3273,5.0,"屋馬最舒服的一家店,店內挺多帥哥美女,吃屋馬就是潮"
3274,5.0,服務非常好，燒肉肉質很不錯，價格也合理。
3275,5.0,據說是台中最有名的燒烤店，用餐前一個月打了N通才打入，當然現場候位也是可以，只是中途時間要好好規劃。筆者當天點了1780套餐，有升級成海鮮粥，肉質真的沒話說，確實有符合這價位的水準，服務生態度優良，服務相當到位，也沒有王品集團那種令人尷尬之服務(90度鞠躬那種...)。若是當月壽星可獲得畫板，其實就是糖粉，看爽的。
3276,5.0,好吃！服務也好
3277,4.0,服務很好！
3278,4.0,味道正常，但很飽
3279,4.0,(由 Google 提供翻譯) 食材、擺盤佳，口味也很好！桌邊服務也很讚推，服務人員積極跟客人互通！這次唯一的遺憾就是和式座位！因為必須脫鞋，有些客人的味道較為濃鬱，倒是影響了不少食慾！ …更多(由 Google 提供翻譯) 食材、擺盤佳，口味也很好！桌邊服務也很讚推，服務人員積極跟客人互通！這次唯一的遺憾就是和式座位！因為必須脫鞋，有些客人的味道較為濃鬱，倒是影響了不少食慾！(原始評論)食材、擺盤佳，口味也很好！桌邊服務也很讚推，服務人員積極跟客人互通！這次唯一的遺憾就是和式座位！因為必須脫鞋，有些客人的味道較為濃郁，倒是影響了不少食慾！
3280,5.0,好吃！服務人員熱情^^還會想要再去消費^^
3281,5.0,雖然真的是什麼都要等，但服務真的還不錯！東西也好吃！😋沒有去埋怨等太久，還是送上了補償的招待飲料，不知道是不是每桌都這樣，但還是蠻開心的！最後沒有拍到海鮮粥湯，真的是蠻讚的，千萬不要點白飯啊！
3282,5.0,服務周到，上餐速度快!
3283,5.0,CP值高 服務好
3284,4.0,價格實在，服務態度貼心
3285,5.0,CP值很高，服務很好，瘋狂換烤網就對了！
3286,5.0,別在用餐尖峰時間打電話，肯定打不進去，一定要事先預定，等待是值得的，服務也很nice，會讓人一去再去的店👍
3287,2.0,東西好吃 品質好 服務要看花多少錢 隔壁買兩千的套餐  服務生就一直出現在那桌    用餐環境不好花這麼多錢 跟烤狀猿那種店差不多 這樣我多花錢也沒有多什麼 沒有那個價值
3288,5.0,(由 Google 提供翻譯) 肉美味好吃！(原始評論)肉美味好吃！
3289,4.0,食材新鮮，換網的頻率非常高，裝潢設備還好，服務態度可，適合聚餐。 非常難訂到位置 電話長 通沒人接聽這一點不好
3290,5.0,海鮮粥好吃
3291,5.0,好吃的肉 態度好，只是位子很難等
3292,4.0,服務很好！！餐點還不錯，但肉類我覺得還好
3293,5.0,食物新鮮好吃
3294,4.0,(由 Google 提供翻譯) 好吃cp值高(原始評論)好吃cp值高
3295,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3296,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3297,5.0,超好吃 記得先預約
3298,5.0,(由 Google 提供翻譯) 很好吃(原始評論)很好吃
3299,4.0,服務生態度很好，烤盤換了六七次，雞湯好喝，肉的品質也很棒，整體來說蠻推薦的！
3300,5.0,服務超好，很難訂位，食材新鮮
3301,5.0,很熱門的餐廳啊
3302,5.0,傳說中的神店  好吃
3303,5.0,換網快 服務好 價錢比其他間便宜 肉量多 牛肉表現佳
3304,4.0,好吃～但價位較高
3305,5.0,服務很棒，餐點好吃，讓人賓至如歸！
3306,1.0,到了訂位時間還要多等一小時
3307,5.0,(由 Google 提供翻譯) 美味又有趣(原始評論)Tasty and fun
3308,5.0,價格高但是值得服務非常好，是很貼心歡樂那種，不會讓人覺得困擾不舒服💕 ⋯⋯更多價格高但是值得服務非常好，是很貼心歡樂那種，不會讓人覺得困擾不舒服💕每次去都吃得很開心👍👍👍
3309,5.0,高級燒烤
3310,4.0,(由 Google 提供翻譯) 好吃又便宜(原始評論)好吃又便宜
3311,4.0,今天去蝦子沒有特別新鮮，剝完手癢癢的，但整體而言還是蠻好吃的，肉品都蠻新鮮的，豬五花應該可以不用放進套餐，實在很普通。服務生速度都很快 換烤盤跟上菜都很有禮貌跟迅速
3312,5.0,(由 Google 提供翻譯) 好吃美味(原始評論)好吃美味
3313,5.0,一開始上的雞湯就很鮮美，之後的沙拉，豬肉牛肉海鮮份量跟肉質都很不錯，環境乾淨舒適，鐵網換的很快，服務人員熱情有活力，很棒的聚餐地點
3314,5.0,(由 Google 提供翻譯) 好味(原始評論)好味
3315,4.0,菜色還不錯
3316,4.0,服務好，肉肉好吃。
3317,1.0,電話訂位說23:00有，不然就是現場候位到了現場，表示要候位又說不能保證有位子，今日訂位已滿，不然就是要23:00……那電話詢問時就直接說全滿，只有23:00就好啊！真的是…早說嘛你為什麼不早說，浪費人時間又壞興緻
3318,1.0,服務態度不一致，只會請客人一直無止盡的等位置。
3319,5.0,服務好，肉質好，還有候位按摩
3320,5.0,熬的雞湯很棒，喜歡喝湯的客人會滿足感。搭配豐富的大盤沙拉，幾樣小菜配吃，讓晚餐不習慣吃肉食太多的我，餐後飽足感，但很好消化﹏喜歡！我就住在隔壁棟，會再邀親朋友過去消費。
3321,5.0,肉質高級，份量吃的飽，重點是能享受最頂級的服務品質
3322,5.0,好吃，不過很難約
3323,4.0,好吃，稍貴
3324,5.0,好吃😋服務又好。
3325,4.0,專業
3326,1.0,預約電話連續快5天了打過好幾個時段09～12 ⋯⋯更多預約電話連續快5天了打過好幾個時段09～1216～1821～24永遠都是您撥的電話通話中請稍候再撥是故意拿起來不接的嗎不然所有時段都是通話中
3327,1.0,"打電話過去訂位,好幾次打通了都沒人要接電話"
3328,4.0,肉質鮮美，值得一嚐
3329,5.0,很不錯的地方
3330,5.0,筷子不小心掉了，不用說馬上遞給我新的，服務真的好貼心！！
3331,5.0,菜色中上，至少園邸店服務一流!
3332,5.0,沒吃過屋馬等於沒吃過燒肉
3333,5.0,火力的確稍微不均但慢慢烤應該問題不大換烤盤非常頻繁，服務速度很快
3334,5.0,沙拉好吃，肉質鮮嫩，海鮮粥料超豐富每口都吃得到料，重點是份量都超多，吃超飽！！！！
3335,5.0,台中燒肉首選，有時候訂位都訂不到，可現場碰碰運氣! 肉的品質沒話說，服務很主動親切
3336,5.0,服務超級棒的啦，一點都不會讓人感覺煩躁，服務人員超級貼心，知道我們第一次來還特地薩比斯糖畫，燒肉夠水準，泡菜很道地，下次還要再來，讚讚讚！
3337,1.0,漏單跟服務生說後還沒有補送餐點...
3338,4.0,好吃！氣氛佳，服務品質優！
3339,4.0,美味、服務優，電話難撥通～
3340,4.0,肉品鮮美食材新鮮！烤盤每10分鐘來換一次夠認真，四人來吃很飽！有水準！
3341,4.0,是可以吃得很飽啦
3342,3.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3343,5.0,肉質佳，服務好，不得不給五星
3344,5.0,沒預定剛開店就來剛好有位置，以cp值來說是相當優質的餐廳，沙拉、湯品、米飯、肉，品質皆有水準，好吃！出菜節奏、桌面清潔及換烤盤也都服務到位，但肉量不算非常多可能不太適合飢餓學生族群，烤肉順序及搭配醬料或配菜的食用方法能建議一下會更好。
3345,4.0,服務很好
3346,2.0,過譽了 根本普普 服務也很急很敷衍
3347,5.0,好吃到忘記拍照！但是飲料普普！
3348,5.0,東西超好吃服務態度好
3349,5.0,(由 Google 提供翻譯) 很棒(原始評論)很棒
3350,5.0,服務非常好，很體貼。用餐時間只有兩小時，需要等位。
3351,5.0,.新鮮好吃服務好
3352,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3353,4.0,電話難打 三天才接通
3354,5.0,頂級烤肉雞湯超好喝
3355,5.0,每一道都好吃，價格又實惠，服務也很親切！就是生意太好太難預定位置
3356,5.0,肉片烤起來軟嫩，CP值高，回味無窮，可惜超難預約
3357,5.0,1780雙人套餐，好吃，肉質鮮美
3358,5.0,(由 Google 提供翻譯) 超好吃(原始評論)超好吃
3359,5.0,食材很新鮮，量也夠多，非常好吃，甚至連一開始的雞湯都很猛，服務員態度親切有禮
3360,5.0,和牛好銷魂!!!
3361,5.0,好吃，太好吃了，訂位電話不好打。
3362,4.0,雖然人很多，但服務很棒，很細心。食材新鮮，環境乾淨。
3363,5.0,很有質感的用餐環境，服務親切態度和善，人均消費高，偶而體驗不錯。
3364,5.0,好吃，但太難訂位
3365,5.0,好吃但價格高
3366,4.0,好吃 價格高
3367,4.0,肉質優，價位不低，雞湯雖然可以喝到飽但是有點味精感
3368,5.0,服務人員親切 餐點美味
3369,5.0,服務好
3370,5.0,(由 Google 提供翻譯) 台中最好的日式燒烤！(原始評論) …更多(由 Google 提供翻譯) 台中最好的日式燒烤！(原始評論)The best Japanese style BBQ in Taichung!
3371,4.0,肉品優良
3372,4.0,餐點好吃，但是電話難打進訂位！
3373,2.0,(由 Google 提供翻譯) 服務態度佳，排隊人氣店。肉品品質一般，肉片（塊）分切太小，醬汁無特色；烤盤火力不均，店員調整後無改善。嚴選特大北海道幹貝，只有10元硬幣大小（190元/顆）？ ！扇貝加起司焗烤，無法吃出原本鮮甜⋯ …更多(由 Google 提供翻譯) 服務態度佳，排隊人氣店。肉品品質一般，肉片（塊）分切太小，醬汁無特色；烤盤火力不均，店員調整後無改善。嚴選特大北海道幹貝，只有10元硬幣大小（190元/顆）？ ！扇貝加起司焗烤，無法吃出原本鮮甜⋯失望～(原始評論)服務態度佳，排隊人氣店。肉品品質一般，肉片（塊）分切太小，醬汁無特色；烤盤火力不均，店員調整後無改善。嚴選特大北海道干貝，只有10元硬幣大小（190元/顆）？！扇貝加起司焗烤，無法吃出原本鮮甜⋯失望～
3374,4.0,肉品真的不錯，服務也很周到，就是很難訂位，電話打不進去，定位在正常的用餐時間建議一個月前就先預訂而且要重複確認以免有誤。不過平常日十一點半大概就會有位置了，我是指午夜十一點半～
3375,5.0,服務不錯東西好吃
3376,4.0,生意真的很好~服務也不錯!!!可惜點太少了...下次還會再去消費~
3377,4.0,好吃價位還可以 但人真的太多了！ 還要一個月前訂位真的太瘋狂
3378,5.0,好吃 高品質
3379,4.0,肉質很好價格實在
3380,4.0,好吃，套餐份量十足 換網十分勤快。只是明明都不錯卻沒什麼記憶點
3381,4.0,除了難訂位，其他無缺點
3382,5.0,(由 Google 提供翻譯) 好吃！(原始評論)好吃！
3383,5.0,(由 Google 提供翻譯) 物超所值(原始評論)物超所值
3384,4.0,環境超優、價位中上、沙拉量多、服務不錯、唯有超難訂餐的～可以改善嗎？
3385,1.0,電話是故意拔掉電話線嗎？怎麼都無法打進去
3386,4.0,東西好吃
3387,4.0,肉質不錯 但份量過多
3388,5.0,服務好，肉質新鮮！喝+啦
3389,5.0,非常非常非常好吃！！！！從頭到尾都非常好吃！！！！只是很難訂位
3390,4.0,用料實在，可惜生意太好，予約困難
3391,5.0,味道很棒又氣氛不錯
3392,5.0,目前吃過CP值最高的燒肉店肉屌，店員幽默又服務好！真的是「屋馬」！！！
3393,1.0,今天去吃整體上都蠻歡樂開心，美中不足的是結帳時，結帳人員態度非常不佳，語氣好像我們欠債一樣，真的很不ok，真的該好好檢討，這是大餐廳該有的員工嗎？
3394,1.0,第一次來吃 東西好 服務人員很不錯只是結帳人員就很差 臉超臭 欠很多感覺10個人用餐5個先到先點 後5人慢到就分開開單 ⋯⋯更多第一次來吃 東西好 服務人員很不錯只是結帳人員就很差 臉超臭 欠很多感覺10個人用餐5個先到先點 後5人慢到就分開開單因為我們有當日壽星可享打折優惠導致結帳時前5人享有打折 後5人就原價不知道是什麼道理 明明一起的卻不一樣價錢後來去問 也不能退 反怪我們自己要分開的單子 可是單子是你們店開給我們 我們會懂嗎？難道是你們打了一折嗎？ ？？？？？那麼怕人吃 那麼怕給優惠幹嘛給優惠 幹嘛開店？？？？？？
3395,5.0,好吃不用多說
3396,5.0,雖然價位偏高，但服務好的沒話說，送餐和清潔速度快，烤網換的也勤，肉質中等不算是頂級但份量多可以吃得非常飽
3397,4.0,味道不錯 不過價格有點貴
3398,5.0,高價位，物有所值。真的好好吃😳😳😳😳
3399,5.0,好吃兩字!!!
3400,5.0,肉質鮮美，食材很好， 味美價廉 值得品嚐
3401,4.0,要預約喔 要不是兒子與女兒的用心 還真的吃不到
3402,5.0,制度，品質，服務，其他我不用多講
3403,4.0,肉質鮮美 …沙拉也很好吃 …雖然真的很難訂位 …也不好停車 …但是值得吃吃看 …
3404,4.0,服務真的好我加了一顆星，氣氛還可以，人多吵雜難免，食材部分以這價位來說覺得有進步空間...應該不會在回顧
3405,5.0,愛吃燒肉的必來
3406,3.0,肉質比一般吃到飽的日式燒肉店好吃。
3407,5.0,好吃有質感
3408,5.0,超好吃 份量十足 還想再去
3409,1.0,肉質還可但高價位，有名但排隊進去吃完後不會想再來第二次...還不如吃王品
3410,5.0,好吃，滿足。
3411,4.0,餐點好吃，貴的很有價值，不只吃到飽還吃到撐，但是位子真的很難訂到，建議是直接到現場訂位，因為電話根本打不進去
3412,5.0,超級好吃
3413,5.0,(由 Google 提供翻譯) 真的太好吃了(原始評論)真的太好吃了
3414,5.0,(由 Google 提供翻譯) 超好吃吃吃吃吃吃！ ！ ！　屋馬堪稱台中最頂級五顆星　有規模有製度　肉品新鮮　值得推薦！ ！(原始評論) …更多(由 Google 提供翻譯) 超好吃吃吃吃吃吃！ ！ ！　屋馬堪稱台中最頂級五顆星　有規模有製度　肉品新鮮　值得推薦！ ！(原始評論)超好吃吃吃吃吃吃！！！　屋馬堪稱台中最頂級五顆星　有規模有制度　肉品新鮮　值得推薦！！
3415,5.0,無論用餐環境、氣氛，服務人員的素質、態度，還有食材的種類與份量，都是一等一的，唯二大缺點就是訂位很難&電話很難撥通
3416,5.0,份量大 服務親切
3417,1.0,打電話從來沒接過打2天！我直接過去店面 ⋯⋯更多打電話從來沒接過打2天！我直接過去店面12點到現場，服務人員都在櫃檯（電話不接？）然後走過來跟我說沒訂位要等到3點
3418,4.0,服務人員很親切
3419,5.0,(由 Google 提供翻譯) 好吃 👍(原始評論)好吃 👍
3420,4.0,無限暢飲雞湯、好吃的海鮮粥、汁多味美的燒肉、良好的服務、沒有油煙四竄的環境、非常推薦來吃。ps記得提早訂位
3421,4.0,口味上差異不大服務品質上沒有中港店來的熱情用餐感覺比較有壓力 ⋯⋯更多口味上差異不大服務品質上沒有中港店來的熱情用餐感覺比較有壓力如果不是服務人員主動安排包廂這個用餐環境有點太過吵雜
3422,4.0,燒肉好吃   招待也好吃  服務好用餐氣氛愉快
3423,4.0,燒肉好吃，可惜時段都很熱門，不好預約
3424,4.0,肉質新鮮！美味的燒烤料理店！
3425,4.0,環境乾淨!!肉質鮮美!!貴的有價值，是個有質感的餐廳
3426,5.0,好的肉果然有差 隨便烤都美味 網子換很勤 服務佳
3427,5.0,肉新鮮好吃，重點是服務人員熱情，用餐過程愉快
3428,5.0,套餐價格選材剛好，想再吃
3429,5.0,(由 Google 提供翻譯) 超好吃(原始評論)超好吃
3430,4.0,雞湯好喝 燒肉店CP值最高
3431,4.0,要先訂位!!訂位了還是要稍等15~20分整體還算不錯唷~
3432,5.0,台中獨有燒烤店～～超好吃～雖然價位高，但真的會讓人想再來第二次～但記得如果確保腳不會太臭～畢竟有可能被安排到需要脫鞋的位置～除非你是自己去吃～或別人不介意在誘人的燒烤味中隱約散發出的鹹魚味～
3433,4.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3434,5.0,服務生會適時的更換烤網及收拾桌面，服務很周到，餐點也美味，用餐過程相當輕鬆
3435,3.0,還可
3436,5.0,服務很好 肉質很優 但一定要提前訂位
3437,1.0,電話能打兩天打不通也太扯了吧
3438,5.0,(由 Google 提供翻譯) 好吃。(原始評論)好吃。
3439,5.0,烤肉好吃，雞湯好喝，排煙設備良好不會整間都是油煙。
3440,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3441,5.0,服務生眉毛很正點
3442,4.0,服務態度優，食材不錯，很讚的餐廳！
3443,5.0,(由 Google 提供翻譯) 吃過最新鮮最漂亮的肉在這裡，肉汁鮮甜齒頰留香，蝦子乾貝花枝又新鮮，是間不沾醬（檸檬沾醬也很棒）就能吃原味的好地方。而裝潢也是不馬虎，用英式下午茶三層架裝肉有效利用空間又有質感，美中不足就是高品質導致要瘋狂打電話才訂的到位置。 …更多(由 Google 提供翻譯) 吃過最新鮮最漂亮的肉在這裡，肉汁鮮甜齒頰留香，蝦子乾貝花枝又新鮮，是間不沾醬（檸檬沾醬也很棒）就能吃原味的好地方。而裝潢也是不馬虎，用英式下午茶三層架裝肉有效利用空間又有質感，美中不足就是高品質導致要瘋狂打電話才訂的到位置。(原始評論)吃過最新鮮最漂亮的肉在這裡，肉汁鮮甜齒頰留香，蝦子干貝花枝又新鮮，是間不沾醬（檸檬沾醬也很棒）就能吃原味的好地方。而裝潢也是不馬虎，用英式下午茶三層架裝肉有效利用空間又有質感，美中不足就是高品質導致要瘋狂打電話才訂的到位置。
3444,1.0,(由 Google 提供翻譯) 不好吃，又要等(原始評論)不好吃，又要等
3445,1.0,(由 Google 提供翻譯) 家人有行動不方便，因為沒吃過在訂位時他們也無告知有合式座位，等到現場才知道，而且我訂第一次無告知，第二次我自己確認也無告知，第三次店家打來確認也未說，根本就只有講要併桌，要併桌可以啊那怎麼都沒順便講有可能坐合式座位，講一下很難嗎？再來套餐部分也不知道在貴什麼，雙人套餐總共5盤肉+1碗白飯+海鮮一隻蝦跟一顆小幹貝？哈哈說是食材用很貴是嗎？真的完全被騙傻眼= = …更多(由 Google 提供翻譯) 家人有行動不方便，因為沒吃過在訂位時他們也無告知有合式座位，等到現場才知道，而且我訂第一次無告知，第二次我自己確認也無告知，第三次店家打來確認也未說，根本就只有講要併桌，要併桌可以啊那怎麼都沒順便講有可能坐合式座位，講一下很難嗎？再來套餐部分也不知道在貴什麼，雙人套餐總共5盤肉+1碗白飯+海鮮一隻蝦跟一顆小幹貝？哈哈說是食材用很貴是嗎？真的完全被騙傻眼= =(原始評論)家人有行動不方便，因為沒吃過在訂位時他們也無告知有合式座位，等到現場才知道，而且我訂第一次無告知，第二次我自己確認也無告知，第三次店家打來確認也未說，根本就只有講要併桌，要併桌可以啊那怎麼都沒順便講有可能坐合式座位，講一下很難嗎？再來套餐部分也不知道在貴什麼，雙人套餐總共5盤肉+1碗白飯+海鮮一隻蝦跟一顆小干貝？哈哈說是食材用很貴是嗎？真的完全被騙傻眼=  =
3446,5.0,吃過一定會想在來，非常值得一試👍👍👍
3447,4.0,肉不錯、米飯的品質也很好
3448,5.0,肉很好！價位偏高，不過值得！VIP打九折～
3449,5.0,環境很好
3450,4.0,服務周到 好吃😋
3451,4.0,沙拉讚，肉質不錯，但是人超級多
3452,4.0,好吃    現場等很快就滿了
3453,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3454,5.0,(由 Google 提供翻譯) 太棒了(原始評論)太棒了
3455,1.0,訂位訂7大1小，打電話來沒接到回撥也不通，結果到現場一直跳針給我6人座，要我們擠一下，我臨時多1個人變8大1小，你如果剛好排7大1小8人座我們剛好可以擠一人，你排6人座給訂位7大1小是怎樣。而且接待的男生毫無歉意，一直跳針我的訂位是7大1小，「所以幫我保留6人座」快氣死😡
3456,5.0,服務好 食材新鮮又高級 讚！
3457,5.0,只有驚艷可以形容他的好吃
3458,5.0,服務好！東西好吃！
3459,5.0,好吃，食物份量足夠，服務又好，總而言之CP值還算高
3460,4.0,好吃但很貴
3461,5.0,套餐量多，肉豐富，沙拉很多，服務不錯，湯也很好喝！
3462,5.0,(由 Google 提供翻譯) 超好吃的！(原始評論)超好吃的！
3463,4.0,(由 Google 提供翻譯) 日式燒烤餐廳，適合各種場合的家庭和朋友。提供的食物和服務很好，也提供停車位。提前預訂將確保無需等待。(原始評論) …更多(由 Google 提供翻譯) 日式燒烤餐廳，適合各種場合的家庭和朋友。提供的食物和服務很好，也提供停車位。提前預訂將確保無需等待。(原始評論)Japanese style grill restaurant that is a great option for families and friends for all occasions. Food and services provided are good and parking is also available. Booking in advance will ensure no waiting.
3464,4.0,東西好吃，但是缺點就是很難訂位，附設的停車場小。要路邊找位子或是停綠園道周邊停車場
3465,4.0,肉質新鮮，雙人套餐能夠吃很飽，但電話時常忙線，難以預訂。
3466,5.0,肉質超好！服務也親切^^
3467,3.0,服務態度很好
3468,5.0,價格很高，服務好，吃過一次之後現在都省錢不吃燒肉吃到飽，打算再到台中旅行時吃這類比較高檔美味的燒肉店。當時第一次到台中當背包客，可能外表長得太像外地人，店員主動告訴我們哪裡好玩，還跟我們說甜點不夠可以幫我們續，甜點好吃、店員親切替這家店大加分！（雖然現在已經忘記名字，不過當下有在回饋單特別感謝這位店員）
3469,4.0,非常好吃的燒肉店~服務也很好!!不過很難訂位..有附設停車場
3470,4.0,價位跟服務都非常好
3471,5.0,很好吃服務超好的!不過也真的不好訂～
3472,3.0,電話都打不通...
3473,5.0,(由 Google 提供翻譯) 美味(原始評論)美味
3474,5.0,服務人員辛苦而且專業，隨時在旁邊貼心的照料著客人。
3475,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3476,1.0,預約五點，快五點多入座，五點半送餐。六點半就不給加點，七點趕人！來一次就夠了
3477,4.0,(由 Google 提供翻譯) 好(原始評論)good
3478,3.0,好吃但人真的太多沒預約會等很久
3479,5.0,(由 Google 提供翻譯) 台中代錶店之一好吃服務佳 …更多(由 Google 提供翻譯) 台中代錶店之一好吃服務佳(原始評論)台中代表店之一好吃服務佳
3480,3.0,服務
3481,3.0,第二次造訪 肉質覺得變差了
3482,1.0,被語音預約給耍了，詳細情形懶的詳述，電腦語音加上置之不理真帥
3483,5.0,肉質軟嫩 美味可口
3484,5.0,肉質👍👍👍👍👍
3485,3.0,份量足，價位稍高。
3486,5.0,生日畫盤很可愛，服務很好東西也好吃，每次來都很開心
3487,5.0,屋馬應該是台中燒肉餐廳的翹楚了吧，許久沒吃，今天來吃一樣好吃
3488,4.0,推薦！！
3489,5.0,牛肉沾上檸檬汁  讓人一口接一口
3490,4.0,"(由 Google 提供翻譯) 二人餐份量很多。沙律菜一大盆，再加上三款前菜，吃完會飽了一大半。牛肉會偏薄。個人認為：醬汁需稍稍再提味才夠。今天是平日，無訂枱，walk in, 只等了大概35mins, 可以接受。 …更多(由 Google 提供翻譯) 二人餐份量很多。沙律菜一大盆，再加上三款前菜，吃完會飽了一大半。牛肉會偏薄。個人認為：醬汁需稍稍再提味才夠。今天是平日，無訂枱，walk in, 只等了大概35mins, 可以接受。(原始評論)二人餐份量很多。沙律菜一大盆，再加上三款前菜，吃完会飽了一大半。牛肉会偏薄。個人認為：醬汁需稍稍再提味才夠。今天是平日，無訂枱，walk in, 只等了大概35mins, 可以接受。"
3491,2.0,肉質不錯，但服務態度敷衍不耐，用餐過程一直收盤，三人只點套餐不夠，至少要多單點幾盤肉，環境整體普通
3492,5.0,我們臨時多了一人用餐，本想擠一點沒關係，將就一下，但服務人員發現後，在不影響其他客人訂位的情形下，幫我們換到比較大的桌子。
3493,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3494,5.0,(由 Google 提供翻譯) 好吃(原始評論)好吃
3495,1.0,朋友生日電話預從原本預計7點約到晚上9點，8點多到現場跟排桌小姐說我們到了，結果後面也訂九點的人都有幫他們打勾確認抵達現場，我們再次說怎麼沒勾我們，她才一臉尷尬幫我們打勾，結果10點才進場，快吃完時，主管經過還好意思說先生下次可以提前電話預約！我整個白眼
3496,5.0,他的價錢不是貴的沒有道理，良好的服務態度，優質的牛肉，我從來都沒有吃過如此好吃的牛肉！鮮嫩多汁！只有2500，只要2500買不了吃虧，買不了上當！！我們要了一個二人套餐豆根本吃不完，海鮮粥也特別好吃😋，如果你問我台中那家店一定要吃，我會說，THIS ONE！
3497,5.0,肉的品質超棒!!!怎麼吃都不膩❤❤❤
3498,4.0,好吃！肉質鮮美多汁，環境質感又好，份量十足 cp值高，適合大大小小聚餐 ⋯⋯更多好吃！肉質鮮美多汁，環境質感又好，份量十足 cp值高，適合大大小小聚餐沒給5星是訂位超級難訂？超級！！打了不下200通以上 要非常有耐心！
3499,5.0,(由 Google 提供翻譯) 好美味(原始評論)好美味
3500,5.0,有點小貴 服務很好
3501,4.0,餐點好吃，服務到位，cp值比臺北的燒肉好多了，還有喝到飽的好喝雞湯~~
3502,1.0,"今天晚上11點到屋馬聚餐，服務人員都很忙碌,上菜時間慢了點，覺得都是互相尊重，用餐過程都相當愉快，但是到後段用餐中,就有一位服務人員不斷再桌邊附近勘查店內用餐情況，表情也略顯不耐，甜點一上就馬上前來告知,營業時間已經結束,擺出非常不耐煩的表情。我知道服務業的辛苦,我們不是奧客，即使出菜時間耽擱了，提前最後加點 ⋯⋯更多今天晚上11點到屋馬聚餐，服務人員都很忙碌,上菜時間慢了點，覺得都是互相尊重，用餐過程都相當愉快，但是到後段用餐中,就有一位服務人員不斷再桌邊附近勘查店內用餐情況，表情也略顯不耐，甜點一上就馬上前來告知,營業時間已經結束,擺出非常不耐煩的表情。我知道服務業的辛苦,我們不是奧客，即使出菜時間耽擱了，提前最後加點 週邊結帳，當然都是很配合的不影響到大家的時間，甚至服務人員很貼心的要幫忙剝蝦，我們也是專業的自己來。數年來，對屋馬都是給予非常滿意的肯定，滿意調查單上，都是不忘填上服務人員的編號。可是今日用餐後卻是搞的相當的不愉悅，我們未造成任何人的困擾，我們也沒耽擱任何人時間，但這位人員似乎對於客人不甚滿意，擺出滿滿的不耐煩，我們並不想因為某位人員的不滿，就給屋馬低評價，只是期望貴公司應該適當的教育，在擺臭臉前，你是不是誤會了別人？而我們要的只是愉悅的用餐，而非來承受某人的負面情緒。"
3503,5.0,好吃！！！不要被單價嚇到，物有所值！來台中必到！
3504,4.0,服務好/肉質佳
3505,5.0,好吃到，很難預約
3506,5.0,(由 Google 提供翻譯) 非常好吃(原始評論)非常好吃
3507,5.0,十分熱門，一定要提早訂位，套餐比單點實惠，雙人套餐份量很足很豐盛，食材也挺不錯的，跟台北的單點燒肉店比，CP值很高
3508,5.0,C\P值高，幸福吃燒肉
3509,2.0,吃不飽 滿足感不高 唯一高的就是價格 喜好高價格的 這是一個不錯的好去處
3510,5.0,讚，唯一缺點就是每次打電話預訂位置都無法預訂
3511,2.0,貴，難訂位，肉還好，愛吃肉的人要點好幾盤肉才吃得飽，這樣最起碼一個人要花一兩千，這樣的CP值真的不好，公司聚餐吃了五萬，也沒送個折價卷之類的，碳佐麻里至少還有這個吸引我。
3512,5.0,肉質鮮甜重點是那壺「雞湯」太好喝了
