宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
母亲节衣服夏季70-80岁奶奶装短袖套装 中老年人女装老人妈妈上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1qixbRXXXXXcPXXXXXXXXXXXX_!!2-item_pic.png,https://detail.tmall.com/item.htm?id=549153933164&ns=1&abbucket=0,108.00,1186人付款,江苏 苏州,1903-1 ,慈母恋 ,薄 ,其他 ,2017年夏季 ,休闲 ,花色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
妈妈装夏装套装女30-40-50岁胖时尚中年女装2017新款潮短袖两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/405711096/TB20nlGlHlmpuFjSZFlXXbdQXXa_!!405711096.jpg,https://item.taobao.com/item.htm?id=547733439295&ns=1&abbucket=0#detail,139.00,2745人付款,浙江 杭州,,,薄,,"2016年夏季,2017年春季,2017年夏季",时尚,其他,,九分裤,宽松,两件套,套头,短款,,圆领,荷叶袖,,,,荷叶边
中老年女装夏装套装短袖t恤妈妈装大码两件套40-60岁夏季棉麻套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1bta_RXXXXXczaXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548649659328&ns=1&abbucket=0#detail,38.00,1305人付款,江苏 苏州,,,适中,,2017年夏季,休闲,大花,,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,,绣花
大码胖妈妈装夏装短袖连衣裙中老年人女装夏季套装中长款雪纺裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1XZTTQVXXXXcLaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528681863770&ns=1&abbucket=0,79.00,1395人付款,浙江 嘉兴,mn-9048 ,简羚 ,薄 ,其他 ,2016年夏季 ,时尚 ,花鸟图案 ,40-49周岁 ,,宽松 ,单件 ,套头 ,中长款 ,,圆领 ,常规 ,,,96%及以上 ,
中年妈妈装夏装短袖t恤两件套装中老年女装中袖雪纺衫40-50岁上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1_91mQFXXXXafapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548574758436&ns=1&abbucket=0,48.00,2167人付款,江苏 苏州,LHC-028*29 ,兰花瓷 ,薄 ,其他 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
母亲节衣服妈妈装夏装50岁60奶奶装两件套中老年人女装春装套装70,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1H.UGQFXXXXazXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547506489368&ns=1&abbucket=0,128.00,2045人付款,浙江 嘉兴,KR5022 ,韶妃 ,薄 ,其他 ,2017年夏季 ,福态 ,花鸟图案 ,50-59周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,,常规 ,,,96%及以上 ,绣花 
中老年妈妈夏装套装新款潮雪纺衫短袖t恤40-50岁中年女大码两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1mg_vQVXXXXaOXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549738207421&ns=1&abbucket=0,168.00,2038人付款,浙江 嘉兴,JH17B75-1 ,简狐 ,薄 ,聚酯 ,2017年夏季 ,知性 ,花鸟图案 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
奶奶t恤夏装老年人套装女装60-70岁80老人短袖衣服妈妈老太太裤子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1658139192/TB2Tp1Em90jpuFjy0FlXXc0bpXa_!!1658139192.jpg,https://item.taobao.com/item.htm?id=547266875160&ns=1&abbucket=0#detail,38.00,1615人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,休闲,碎花,60周岁以上,九分裤,,两件套,套头,常规,,圆领,常规,单排扣,,,
母亲节夏季衣服套装60岁奶奶装中老年人女夏装老人妈妈春装太太70,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1RjSIQVXXXXXTaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549702503513&ns=1&abbucket=0,128.00,1388人付款,江苏 苏州,190300355 ,欢喜妈妈 ,薄 ,其他 ,2017年夏季 ,知性 ,花色 ,60周岁以上 ,九分裤 ,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
中老年女装夏装套装中年人短袖T恤40-50岁母亲节衣服妈妈装两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1KcVZQpXXXXbnaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530363964397&ns=1&abbucket=0,79.00,2685人付款,江苏 苏州,YSB16C180 ,衣是宝 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,中长款 ,,POLO领 ,常规 ,三粒扣 ,,96%及以上 ,纽扣 
奶奶装短袖女装套装60-70-80岁妈妈装上衣中老年人夏装女老人衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1897128447/TB2TLBqpH4npuFjSZFmXXXl4FXa_!!1897128447.jpg,https://item.taobao.com/item.htm?id=549480662660&ns=1&abbucket=0#detail,39.00,1109人付款,江苏 苏州,,,薄,聚酯,2017年夏季,福态,花鸟图案,60周岁以上,九分裤,宽松,两件套,套头,常规,,圆领,常规,三粒扣,,,纽扣
中老年女装妈妈装夏装套装时尚雪纺衫阔腿裤两件套40岁50夏季衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1y_hORXXXXXX1XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549231921149&ns=1&abbucket=0,129.00,1867人付款,湖北 武汉,F17X55 ,梵媛 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,
母亲节妈妈夏装运动装中年女装两件套大码短袖t恤中老年上衣+裤子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1.JXeQVXXXXaHXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549336627813&ns=1&abbucket=0,158.00,2287人付款,浙江 嘉兴,JH17B9711 ,简狐 ,,其他 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,高领 ,蝙蝠袖 ,,,51%(含)-70%(含) ,口袋 
中年女装夏装阔腿裤套装妈妈装夏季套装40-50岁中老年母亲节套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1rzIBQVXXXXa6XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549297341535&ns=1&abbucket=0,138.00,1981人付款,江苏 无锡,BL-525 ,Binlvedo/宾伦度 ,,聚酯 ,2017年夏季 ,知性 ,条纹 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,花瓣袖 ,,,91%(含)-95%(含) ,
中老年女装夏季套装中年人短袖T恤上衣+裤子妈妈装夏装棉麻两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB15ywnKXXXXXXjXFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=545873982674&ns=1&abbucket=0#detail,38.00,1649人付款,江苏 苏州,550819385 ,,薄,棉麻,2017年夏季,时尚,花色,50-59周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,三粒扣,,96%及以上,纽扣
妈妈装夏装上衣40-50岁中年女装雪纺T恤女时尚短袖套装2017新款夏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB125NgQVXXXXX3aXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=549405874171&ns=1&abbucket=0#detail,69.00,1612人付款,江苏 苏州,Z202323,,适中,雪纺,2017年夏季,时尚,纯色,40-49周岁,,宽松,单件,套头,中长款,,圆领,常规,,,71%(含)-80%(含),
中年妈妈装夏装两件套装中老年女装夏季短袖t恤新款上衣40-50岁60,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2376849407/TB2qxFAmYJmpuFjSZFwXXaE4VXa_!!2376849407.jpg,https://item.taobao.com/item.htm?id=548161740462&ns=1&abbucket=0#detail,29.00,1370人付款,江苏 苏州,,,薄,其他,2017年夏季,民族风,花鸟图案,50-59周岁,七分裤,修身,两件套,,常规,,圆领,常规,,,71%(含)-80%(含),
母亲节衣服夏季妈妈夏装两件套上衣中年女40-50岁中老年女装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1_EwxQVXXXXbFXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=550109754434&ns=1&abbucket=0,89.00,1281人付款,江苏 苏州,SN17C0017 ,素奴 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,一粒扣 ,,96%及以上 ,口袋 
妈妈装夏装套装2017新款中老年人女装夏季阔腿裤裙裤两件套40岁50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1vqDZQFXXXXXwXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548988758338&ns=1&abbucket=0,138.00,2077人付款,浙江 嘉兴,DS-52202 ,丹丽特 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,V领 ,常规 ,一粒扣 ,,96%及以上 ,纽扣 
母亲节中老年女装夏装短袖套装中年妈妈装夏季衣服休闲运动两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i5/TB1TOZOQVXXXXaEXpXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=548498239777&ns=1&abbucket=0#detail,65.00,1503人付款,浙江 杭州,,,薄,"棉,其他",2017年夏季,休闲,其他,40-49周岁,七分裤,宽松,两件套,套头,短款,,圆领,其他,,,,
夏季妈妈时髦套装40岁50中年人夏装中老年加大码两件套雪纺衫上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1m5vRRXXXXXc0XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549282029524&ns=1&abbucket=0,79.00,4021人付款,浙江 嘉兴,DR6688 ,戴儿凤凰 ,薄 ,其他 ,2017年春季 ,知性 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,其他 ,,,96%及以上 ,
母亲节妈妈夏装套装4050岁2017新款中年女装时尚休闲阔腿裤三件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1O6PaQpXXXXXGXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547487888045&ns=1&abbucket=0,148.00,1849人付款,江苏 苏州,jfmm-7133 ,tutu claire/趣趣佳人 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,九分裤 ,宽松 ,三件套 ,套头 ,中长款 ,,其他 ,常规 ,,,96%及以上 ,绣花 
中老年女装夏季短袖老年人40-50岁大码T恤中年女60妈妈装夏装套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1IUlmKVXXXXaLXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44711704984&ns=1&abbucket=0,69.00,1433人付款,江苏 苏州,HW16C0122 ,航旺 ,薄 ,其他 ,2017年夏季 ,民族风 ,花色 ,50-59周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,插肩袖 ,,,96%及以上 ,口袋 
妈妈装夏装套装40-50岁两件套老年人短袖雪纺T恤衫+裤子中年女装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1zCCTQpXXXXbWXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=39207479010&ns=1&abbucket=0,69.00,2769人付款,上海,M172-065 ,麦子熟了 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,50-59周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
母亲节中老年人女装短袖t恤40-50岁妈妈装夏装两件套装中年女上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/55956373/TB2vMsLmSBjpuFjy1XdXXaooVXa_!!55956373.jpg,https://item.taobao.com/item.htm?id=549309800356&ns=1&abbucket=0#detail,148.00,1543人付款,浙江 嘉兴,HW-871586,名人衣绣,薄,其他,2017年夏季,知性,其他,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,71%(含)-80%(含),
中老年人女装夏装套装60-70岁老人衣服奶奶装两件套妈妈装短袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1qGOOQFXXXXbPapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548907902553&ns=1&abbucket=0,138.00,1736人付款,浙江 杭州,HJY1703-823 ,和家缘 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,花色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,91%(含)-95%(含) ,口袋 
中年女夏季套装大码雪纺衫上衣+裤子两件套40岁妈妈装夏装印花t恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1.mVNQVXXXXb3XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549455650041&ns=1&abbucket=0,138.00,2036人付款,浙江 嘉兴,JH17B99181 ,简狐 ,,聚酯 ,2017年夏季 ,时尚 ,格子 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,其他 ,喇叭袖 ,,,96%及以上 ,纽扣 
母亲节中老年女装夏装套装短袖T恤雪纺衫40-50女妈妈装夏装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2903102014/TB2j0IzqNBmpuFjSZFDXXXD8pXa_!!2903102014.jpg,https://item.taobao.com/item.htm?id=546343161127&ns=1&abbucket=0#detail,29.90,1463人付款,江苏 苏州,171314,自主品牌,薄,"雪纺,棉,其他",2017年夏季,休闲,花色,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,,镶钻
妈妈装夏装套装中老年棉麻T恤女中年时尚短袖老人两件套40-50岁60,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2870691918/TB2oE_LpeJ8puFjy1XbXXagqVXa_!!2870691918.jpg,https://item.taobao.com/item.htm?id=548710195800&ns=1&abbucket=0#detail,37.00,1656人付款,江苏 苏州,,other/其他,薄,棉麻,2017年夏季,民族风,花鸟图案,40-49周岁,七分裤,宽松,两件套,套头,短款,,圆领,其他,三粒扣,,81%(含)-90%(含),绣花
中老年女装春秋上衣妈妈装女士两件套针织衫长袖开衫大码套装春款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB18M.iPXXXXXbdaFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=537029358044&ns=1&abbucket=0#detail,69.00,3210人付款,浙江 嘉兴,3355,九赛鸟,适中,"羊毛,棉,腈纶",2016年秋季,福态,碎花,40-49周岁,,宽松,两件套,,常规,,圆领,常规,,,31%(含)-50%(含),镶钻
母亲节衣服中年妈妈装民族风短袖上衣裤子休闲套装中老年女装夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB107AyQpXXXXXGXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547796425559&ns=1&abbucket=0,120.00,1874人付款,浙江 嘉兴,KR-5036 ,浅恋 ,薄 ,聚酯 ,2017年夏季 ,知性 ,大花 ,50-59周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纽扣 
中老年女装夏装套装母亲节衣服夏季中年妈妈装短袖t恤40-50岁时尚,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1mBV5QVXXXXbBXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44412939557&ns=1&abbucket=0,68.00,4163人付款,浙江 嘉兴,LQ15B090 ,辣秋 ,薄 ,聚酯 ,2016年夏季 ,时尚 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,口袋 
母亲节妈妈装夏装套装40-50岁中老年宽松休闲大码新款T恤两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB15ia5RXXXXXcBapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549299317629&ns=1&abbucket=0,98.00,4322人付款,浙江 宁波,SHM217-TZX2 ,水卉曼 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,中长款 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
中年春装两件套装40岁妈妈夏装中老年人女装短袖t恤雪纺衫+阔腿裤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1Y6kEQFXXXXXKXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544507547634&ns=1&abbucket=0,129.00,2021人付款,浙江 杭州,P712206G1 ,胖织缘福 ,适中 ,聚酯 ,2017年春季 ,时尚 ,复古图案 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,POLO领 ,常规 ,,,96%及以上 ,纽扣 
中年女春装40-50岁妈妈夏装上衣女2017新款T恤时尚针织衫套装小衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1I66mQVXXXXaCaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549869522410&ns=1&abbucket=0,99.00,1483人付款,浙江 嘉兴,f1727 ,羊村衣舍 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,绣花 
妈妈春装外套女40-50岁2017夏新款中老年人女装两件套装中年上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1SwvaQpXXXXc3XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=536396515760&ns=1&abbucket=0,99.00,2342人付款,浙江 嘉兴,ADJCM16879 ,DUOYEREE/朵莹 ,适中 ,聚酯 ,2016年秋季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
母亲节衣服夏季妈妈夏装运动套装中年时尚两件套春新款中老年女装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1bf93RXXXXXX1XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545257718319&ns=1&abbucket=0,179.00,1955人付款,湖北 武汉,Q3169 ,Chophilly＆Co/乔芙丽 ,适中 ,棉 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,长裤 ,宽松 ,两件套 ,套头 ,短款 ,,圆领 ,常规 ,,,81%(含)-90%(含) ,口袋 
中老年女装春装老年人夏装女60-70岁长袖套装奶奶短袖 妈妈两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i6/TB1QC4oQXXXXXXMapXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546699560615&ns=1&abbucket=0#detail,49.00,551人付款,江苏 苏州,H-Q01,,薄,"聚酯,其他","2017年春季,2017年夏季",民族风,复古图案,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,91%(含)-95%(含),口袋
中年妇女连衣裙春款2017新款潮 妈妈衣服春装40-50岁夏装时髦套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1810544480/TB2j1.6j5pnpuFjSZFIXXXh2VXa_!!1810544480.jpg,https://item.taobao.com/item.htm?id=547123787831&ns=1&abbucket=0#detail,98.00,1823人付款,江苏 苏州,,,适中,"蕾丝,其他","2017年春季,2017年夏季",高贵,花色,40-49周岁,,宽松,两件套,开衫,中长款,中长款,圆领,常规,,,,绣花
母亲节2017新款夏装妈妈装阔腿裤三件套中老年女装套装中年衣服饰,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1xS5kQVXXXXa.apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546724728222&ns=1&abbucket=0,178.00,2001人付款,浙江 嘉兴,CS-JF-7133 ,浅恋 ,薄 ,聚酯 ,2017年夏季 ,知性 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,三件套 ,开衫 ,中长款 ,,圆领 ,常规 ,,,96%及以上 ,
中老年人夏装套装女装短袖妈妈装夏天上衣服装70老人60岁80奶奶装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1027599483/TB2bQbwmpXXXXaxXXXXXXXXXXXX_!!1027599483.jpg,https://item.taobao.com/item.htm?id=529325537709&ns=1&abbucket=0#detail,19.80,1420人付款,上海,,,薄,,2016年夏季,休闲,,,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,
中老年短袖t恤女妈妈装夏装套装时髦休闲中年两件套40-50岁上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1wvY6QFXXXXctXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548949803974&ns=1&abbucket=0,98.00,1750人付款,浙江 嘉兴,C-Y-XRX923 ,言情之音 ,适中 ,亚麻 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,30%及以下 ,
中老年人夏装女短袖上衣+裤子两件套60-7080岁老人奶奶装夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1M0LJMVXXXXcTXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=38438463986&ns=1&abbucket=0,59.00,1302人付款,江苏 苏州,1329392 ,殳莎 ,适中 ,聚酯 ,2016年夏季 ,知性 ,复古图案 ,60周岁以上 ,九分裤 ,直筒 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
母亲节衣服夏季2017新款中老年女装夏装短袖中年妈妈40-50岁套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1I59OQVXXXXacaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547339272357&ns=1&abbucket=0,69.12,2136人付款,江苏 苏州,SYMR-8220013 ,索颜美人 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,单件 ,套头 ,中长款 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装夏装中长款连衣裙中年大码妈妈装夏季雪纺两件套装裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1iJEnQFXXXXb6XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547767714122&ns=1&abbucket=0,178.00,2033人付款,湖北 武汉,170330ZS22 ,ZSYF/在水伊芳 ,薄 ,聚酯 ,2017年春季 ,时尚 ,大花 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,91%(含)-95%(含) ,纱网 
气质妈妈夏装时尚套装40-50岁2017新款中年妇女装短袖上衣两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1keIOQVXXXXcpXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549817401058&ns=1&abbucket=0,108.00,1329人付款,江苏 苏州,HW2017000188 ,洪威 ,薄 ,聚酯 ,2017年夏季 ,知性 ,条纹 ,40-49周岁 ,七分裤 ,直筒 ,两件套 ,套头 ,中长款 ,,圆领 ,,,,96%及以上 ,
中老年女装夏季套装短袖雪纺衫40岁50中年妈妈装夏装阔腿裤两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1GpHmPVXXXXaeXVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546350256810&ns=1&abbucket=0#detail,65.00,1400人付款,江苏 苏州,119293903,自主品牌,薄,雪纺,2017年夏季,时尚,花色,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,一粒扣,,96%及以上,纽扣
两件妈妈夏装套装40-50岁中老年女装短袖中年人上衣服2017夏新款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1J62FQFXXXXbVXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549489908336&ns=1&abbucket=0,169.00,1812人付款,江苏 无锡,1170435 ,千百歆玥 ,薄 ,聚酯 ,2017年夏季 ,福态 ,其他 ,50-59周岁 ,七分裤 ,修身 ,两件套 ,,常规 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,
中老年女装薄款休闲印花短袖T恤妈妈装宽松圆领套装七分裤50-60岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1_vF6QFXXXXXaXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548192490479&ns=1&abbucket=0,49.41,2609人付款,江苏 苏州,D248 ,奥可蔓 ,薄 ,其他 ,2017年夏季 ,休闲 ,花鸟图案 ,50-59周岁 ,七分裤 ,宽松 ,单件 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纱网 
中老年人女装夏装阔腿裤套装中年妈妈装夏季雪纺两件套40岁50裙裤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1avyVQFXXXXa_XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545073893246&ns=1&abbucket=0,128.00,1655人付款,浙江 嘉兴,JF-7106 ,浅恋 ,适中 ,聚酯 ,2017年夏季 ,民族风 ,大花 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,,喇叭袖 ,一粒扣 ,,96%及以上 ,纽扣 
中老年女装短袖套装40-50岁妈妈装夏装大码上衣t恤+裤子中年夏季,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2910106359/TB2yh5pfiC9MuFjSZFoXXbUzFXa_!!2910106359.jpg,https://item.taobao.com/item.htm?id=547300553011&ns=1&abbucket=0#detail,39.90,1001人付款,浙江 嘉兴,星百合花,,薄,"聚酯,其他",2017年夏季,时尚,大花,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,蝙蝠袖,,,71%(含)-80%(含),
中老年女装春夏装短袖打底衫40-50岁妈妈装雪纺两件套装上衣+裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2638148098/TB2UA9QlrJkpuFjy1zcXXa5FFXa_!!2638148098.jpg,https://item.taobao.com/item.htm?id=547765716605&ns=1&abbucket=0#detail,39.90,2230人付款,江苏 苏州,9908,常熟靓衣,适中,聚酯,2017年夏季,时尚,纯色,40-49周岁,七分裤,修身,两件套,套头,常规,,圆领,,,,,
