宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
奶奶装夏装女装70-80岁老人衣服t恤妈妈装套装中老年60老年衬衫薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/48166423/TB209ztkHBnpuFjSZFGXXX51pXa_!!48166423.jpg,https://item.taobao.com/item.htm?id=40314109916&ns=1&abbucket=0#detail,49.00,2164人付款,江苏 苏州,,other/其他,薄,"雪纺,其他",2017年夏季,福态,其他,60周岁以上,宽松,两件套,开衫,短款,方领,常规,单排扣,31%(含)-50%(含),
藏绒多斯中老年衬衣女新款修身妈妈装夏装套装印花中年女短袖衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1jSkxMpXXXXcHXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530335014639&ns=1&abbucket=0,148.00,2679人付款,浙江 嘉兴,A1629 ,藏绒多斯 ,薄 ,LYCRA莱卡 ,2016年夏季 ,知性 ,肌理图案 ,40-49周岁 ,修身 ,单件 ,套头 ,常规 ,方领 ,常规 ,单排扣 ,30%及以下 ,褶皱 
2017衬衫中年雪纺宽松大码上衣中老年女装妈妈装短袖T恤打底衫女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/676112255/TB2ML0mqAqvpuFjSZFhXXaOgXXa_!!676112255.jpg,https://item.taobao.com/item.htm?id=547514079685&ns=1&abbucket=0#detail,26.90,2378人付款,北京,8868,,适中,"雪纺,聚酯",2017年夏季,休闲,碎花,,宽松,单件,套头,中长款,,,,,
妈妈装T恤短袖中长款中老年女装春装雪纺衬衫大码中年女夏装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1hIcaQVXXXXbRXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549231653096&ns=1&abbucket=0,148.00,3076人付款,浙江 嘉兴,ER17BA113ZJ ,鄂尔夫人 ,薄 ,其他 ,2017年夏季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,V领 ,常规 ,,96%及以上 ,纽扣 
中老年女装夏装中长款衬衫套装妈妈装2017春装新款潮雪纺衫两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Ng8LRXXXXXcFaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546247499959&ns=1&abbucket=0,89.00,3494人付款,浙江 嘉兴,PM/JXC1718 ,PEMAN/佩曼 ,薄 ,聚酯 ,2017年春季 ,时尚 ,条纹 ,50-59周岁 ,宽松 ,两件套 ,开衫 ,中长款 ,圆领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装七分袖衬衫妈妈装夏装长袖衬衣60-70岁老年人春装女T恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1a3_sQVXXXXbxapXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=549964803386&ns=1&abbucket=0#detail,39.00,1214人付款,江苏 苏州,718,,薄,"腈纶,聚酯",2017年夏季,时尚,花色,40-49周岁,修身,单件,开衫,短款,POLO领,常规,单排扣,91%(含)-95%(含),荷叶边
新款中老年妈妈装衬衫上衣夏装宽松大码衬衣t恤衫老人短袖开衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/833616988/TB26blSmFXXXXbWXpXXXXXXXXXX_!!833616988.jpg,https://item.taobao.com/item.htm?id=527162742577&ns=1&abbucket=0#detail,35.00,1585人付款,北京,xw05,other/其他,适中,棉纶,"2017年春季,2017年夏季",休闲,其他,,修身,单件,开衫,常规,,常规,单排扣,96%及以上,
中老年女装雪纺衫t恤中年衬衫衣服女春装2017新款潮妈妈夏装上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1DCIPPFXXXXc.XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545809629471&ns=1&abbucket=0,179.00,2520人付款,浙江 嘉兴,YOR-7026 ,丹丽特 ,适中 ,其他 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,POLO领 ,常规 ,,96%及以上 ,纽扣 
母亲节衣服夏季胖妈妈装夏装雪纺衫中长款t恤中老年衬衫春装上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1nuv_QXXXXXahXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547255555266&ns=1&abbucket=0,129.00,2113人付款,湖北 武汉,QX-17B309 ,琴弦 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,V领 ,常规 ,,96%及以上 ,纱网 
中年女夏装2017新款T恤妈妈装春装衬衫中老年女装40-50岁短袖上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1Kq8wQXXXXXcbapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546734240876&ns=1&abbucket=0,88.00,2518人付款,江苏 无锡,MC-18009 ,MeiguiRose/玫瑰露丝 ,薄 ,LYCRA莱卡 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,衬衫袖 ,单排扣 ,30%及以下 ,纽扣 
妈妈春装衬衫女中老年女装春秋款长袖衬衣老年人夏装女衣服奶奶装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1ItBnRXXXXXXcXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545582105931&ns=1&abbucket=0,168.00,2153人付款,江苏 苏州,C-C688068 ,Ystl/雅莎天丽 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,81%(含)-90%(含) ,纽扣 
母亲节衣服夏季连衣裙两件套中年妈妈装夏装中老年女装雪纺衫开衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1ArhiQVXXXXaPXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549288291191&ns=1&abbucket=0,132.00,1416人付款,浙江 嘉兴,CS-PP-T23 ,浅恋 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,宽松 ,两件套 ,套头 ,中长款 ,圆领 ,衬衫袖 ,单排扣 ,96%及以上 ,纽扣 
夏装中老年女装30-40-50岁中长款中年大码宽松妈妈装上衣雪纺衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB11vWuRXXXXXXtaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=531654646973&ns=1&abbucket=0,99.00,1681人付款,湖北 武汉,Q16BW102 ,Q．PARMOE/千百萌 ,适中 ,聚酯 ,2016年夏季 ,时尚 ,,40-49周岁 ,宽松 ,单件 ,,中长款 ,,,,96%及以上 ,
母亲节老年人女装夏装衬衫妈妈装夏季上衣中老年女短袖衣服奶奶装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB13IrbQVXXXXasapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549280365215&ns=1&abbucket=0,98.00,1748人付款,浙江 杭州,HMS17B4060 ,红曼裳 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花鸟图案 ,50-59周岁 ,修身 ,单件 ,开衫 ,常规 ,方领 ,常规 ,,91%(含)-95%(含) ,纽扣 
母亲节中老年女装真丝短袖衬衫2017新品印花妈妈装夏装桑蚕丝上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1jgfkRXXXXXbEaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545484203710&ns=1&abbucket=0,298.00,1934人付款,浙江 杭州,H17BC0710 ,红致 ,适中 ,蚕丝 ,2017年春季 ,知性 ,花色 ,50-59周岁 ,修身 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
母亲节中老年女装春装衬衫40-50岁妈妈夏装短袖t恤中年上衣雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1aYgYQFXXXXchXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549241895965&ns=1&abbucket=0,108.00,1653人付款,浙江 嘉兴,BDDLY715- ,DUOYEREE/朵莹 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,,96%及以上 ,绑带 
2017新款夏装真丝上衣七分袖衬衫女桑蚕丝宽松大码中老年妈妈装潮,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2604242655/TB2Xdi2mbXlpuFjSszfXXcSGXXa_!!2604242655.jpg,https://item.taobao.com/item.htm?id=545038836144&ns=1&abbucket=0#detail,98.00,1587人付款,浙江 嘉兴,F1728,YAGELAN雅戈蓝,薄,"聚酯,绸缎,蚕丝",2017年夏季,知性,花鸟图案,40-49周岁,宽松,单件,开衫,常规,半开领,常规,单排扣,91%(含)-95%(含),绣花
【天天特价】新款中老年女装七分袖衬衫妈妈装开衫上衣老人大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1ZQ6aPXXXXXbsXVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=544466790919&ns=1&abbucket=0#detail,35.00,1688人付款,北京,,other/其他,适中,,2017年春季,休闲,大花,,修身,单件,开衫,常规,,常规,单排扣,,
母亲节衣服夏季妈妈夏装雪纺衬衫中老年外套40岁50中年女装春装30,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1XgkiQFXXXXbdXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546117682610&ns=1&abbucket=0,119.00,2616人付款,湖北 武汉,F3234 ,FIRMSOAR/菲蒙索尔 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,衬衫袖 ,单排扣 ,96%及以上 ,纽扣 
妈妈装女装春夏装大码两件套中老年夏款雪纺衬衫短袖假两件上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1tWWjQVXXXXa9aXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547470492720&ns=1&abbucket=0#detail,59.00,1049人付款,江苏 苏州,,,薄,"雪纺,聚酯",2017年夏季,时尚,花色,40-49周岁,宽松,两件套,开衫,常规,圆领,常规,单排扣,,纽扣
母亲节衣服妈妈装夏装套装短袖T恤40岁中老年女装雪纺衬衫上衣50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/872210787/TB2FMm8nHJmpuFjSZFwXXaE4VXa_!!872210787.jpg,https://item.taobao.com/item.htm?id=548589238002&ns=1&abbucket=0#detail,59.40,1044人付款,上海,QMM-19179,,适中,雪纺,2017年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,常规,POLO领,常规,,,
天天特价中老年女装夏季宽松胖妈妈装T恤衫 大码女士短袖衬衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/869279609/TB2uaAGlFXXXXa3XXXXXXXXXXXX_!!869279609.jpg,https://item.taobao.com/item.htm?id=527823899169&ns=1&abbucket=0#detail,14.90,1123人付款,北京,,,适中,涤纶,"2017年春季,2017年夏季",民族风,碎花,,宽松,单件,套头,常规,圆领,常规,,91%(含)-95%(含),
中老年女夏装短袖T恤打底衫中年妇女宽松衬衣 妈妈装大码休闲衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2320150575/TB29ejEnb4npuFjSZFmXXXl4FXa_!!2320150575.jpg,https://item.taobao.com/item.htm?id=547249999550&ns=1&abbucket=0#detail,39.90,2041人付款,江苏 苏州,ZYT-2,,薄,"聚酯,棉",2017年夏季,民族风,其他,40-49周岁,宽松,单件,套头,中长款,立领,常规,三粒扣,96%及以上,纽扣
中老年人女装春秋装薄外套中年妈妈春装长袖衬衣老人60岁夏装上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1pMIUQVXXXXc7aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544818314878&ns=1&abbucket=0,128.00,1571人付款,浙江 金华,FCH-O1702 ,FACHAIHUA/发财花 ,适中 ,聚酯 ,2017年春季 ,民族风 ,复古图案 ,60周岁以上 ,修身 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,81%(含)-90%(含) ,纽扣 
中老年女装夏装衬衫妈妈装七分袖衬衣T恤老人上衣大码开衫女奶奶,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2802501756/TB2GWMmd4dkpuFjy0FbXXaNnpXa_!!2802501756.jpg,https://item.taobao.com/item.htm?id=545100478844&ns=1&abbucket=0#detail,28.00,1632人付款,北京,1781,other/其他,薄,聚酯,"2017年春季,2017年夏季",时尚,碎花,50-59周岁,修身,单件,开衫,常规,其他,常规,单排扣,81%(含)-90%(含),纽扣
中年妈妈装夏装衬衫妇女士40-50岁大码七分袖中老年女装春装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1rJVbQXXXXXc_XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546667273428&ns=1&abbucket=0,128.00,2278人付款,浙江 杭州,HMS17A3019 ,红曼裳 ,薄 ,聚酯 ,2017年春季 ,知性 ,条纹 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,衬衫袖 ,单排扣 ,91%(含)-95%(含) ,纽扣 
妈妈夏装套装中年雪纺衬衫 40-50岁中老年上衣2017新款母亲节衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB10zblQVXXXXXRXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549399767876&ns=1&abbucket=0,118.00,933人付款,湖北 武汉,WM11A1851 ,纹幂 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,两件套 ,套头 ,常规 ,方领 ,常规 ,,91%(含)-95%(含) ,纱网 
中老年人女妈妈短袖衬衫夏天装奶奶衣服老人60-70-80岁老太太套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2863410773/TB2Gz61m0BopuFjSZPcXXc9EpXa_!!2863410773.jpg,https://item.taobao.com/item.htm?id=546770132089&ns=1&abbucket=0#detail,36.00,1231人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,知性,花色,60周岁以上,宽松,两件套,开衫,常规,圆领,,单排扣,71%(含)-80%(含),绣花
中老年夏装女衬衫大码60妈妈装宽松上衣新款老年人衣服70奶奶夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Uu0nQVXXXXXNXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549362789349&ns=1&abbucket=0,178.00,1165人付款,浙江 嘉兴,YTZJ17182B ,韵特 ,薄 ,其他 ,2017年夏季 ,民族风 ,其他 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,立领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中年妈妈夏装雪纺衬衫2017新款母亲节中老年上衣服女春夏季40岁50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB10BW_QVXXXXXJapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547291942831&ns=1&abbucket=0,88.00,1602人付款,湖北 武汉,LCMC313 ,恋慈 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,71%(含)-80%(含) ,纽扣 
母亲节中老年女装春夏季装衬衫奶奶装上衣长袖印花衣服妈妈装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1vMLmQpXXXXaBapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547392809781&ns=1&abbucket=0,128.00,1654人付款,浙江 杭州,HMS17A3005 ,红曼裳 ,薄 ,聚酯 ,2017年春季 ,时尚 ,其他 ,60周岁以上 ,修身 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
母亲节衣服妈妈装春装衬衫中年长袖雪纺衫中老年女装T恤夏装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1v6cjIFXXXXblapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=520818097416&ns=1&abbucket=0,39.00,1901人付款,江苏 苏州,JH150204 ,简禾 ,适中 ,聚酯 ,2015年秋季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,POLO领 ,衬衫袖 ,单排扣 ,96%及以上 ,纽扣 
妈妈装夏装T恤中老年女装夏季雪纺衬衫中年人大码短袖套装上衣春,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1oARMQVXXXXX2XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549443953341&ns=1&abbucket=0,89.00,1528人付款,江苏 苏州,KSL17X043 ,卡时力 ,,其他 ,2017年夏季 ,休闲 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,单排扣 ,96%及以上 ,
福玛玛妈妈装夏装印花气质衬衫中老年女春秋薄上衣打底衬衣七分袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1I1W8QVXXXXcEXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546475335585&ns=1&abbucket=0,126.00,1885人付款,浙江 杭州,T7202T0442 ,福玛玛 ,,聚酯 ,2017年夏季 ,知性 ,,40-49周岁 ,修身 ,单件 ,开衫 ,常规 ,,,,91%(含)-95%(含) ,
妈妈春装衬衣母亲节60岁中老年人女装老人衣服奶奶薄款外套70夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1vA7FQXXXXXa1apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545409711517&ns=1&abbucket=0,128.00,1855人付款,浙江 金华,T-17006 ,大唐夫人 ,适中 ,聚酯 ,2017年春季 ,朴实 ,复古图案 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,半开领 ,常规 ,单排扣 ,51%(含)-70%(含) ,纽扣 
妈妈装春装t恤中长款2017新款40-50岁中年女装雪纺衫衬衫上衣30夏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1Hse7PVXXXXX4XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546165636814&ns=1&abbucket=0,129.00,2206人付款,浙江 嘉兴,MN-7015 ,丹丽特 ,适中 ,其他 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,POLO领 ,常规 ,,96%及以上 ,镂空 
妈妈衬衫女长袖2017春装新款中年女装上衣打底衫中长款中老年衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1585354978/TB2eUN7jbBmpuFjSZFuXXaG_XXa_!!1585354978.jpg,https://item.taobao.com/item.htm?id=546712897868&ns=1&abbucket=0#detail,68.00,2626人付款,江苏 苏州,B070130,,适中,棉,2017年春季,时尚,碎花,40-49周岁,修身,单件,套头,中长款,V领,常规,单排扣,81%(含)-90%(含),纽扣
母亲节中年提花真丝中老年上衣夏装 桑蚕丝妈妈装女装短袖衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB15jv5KVXXXXX1aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=534060149194&ns=1&abbucket=0,298.00,1409人付款,浙江 杭州,6335 ,城市海岸 ,适中 ,蚕丝 ,2017年夏季 ,时尚 ,花色 ,,宽松 ,单件 ,开衫 ,常规 ,,,,91%(含)-95%(含) ,
2017新款40-50岁妈妈夏装上衣中年女装短袖T恤雪纺衬衫中老年春装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1NP5uRXXXXXb2aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=531134117252&ns=1&abbucket=0,58.00,1455人付款,江苏 苏州,T9130 ,依安雅 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,修身 ,假两件 ,套头 ,中长款 ,其他 ,常规 ,,71%(含)-80%(含) ,镶钻 
中老年女装春装妈妈装长袖T恤上衣老年人衣服奶奶装衬衫50-6070岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2649718869/TB2Bq0yibFkpuFjy1XcXXclapXa_!!2649718869.jpg,https://item.taobao.com/item.htm?id=535784238762&ns=1&abbucket=0#detail,29.90,1692人付款,江苏 苏州,,,适中,"聚酯,其他",2017年春季,民族风,复古图案,50-59周岁,宽松,单件,开衫,常规,立领,插肩袖,单排扣,,纽扣
40-50岁新款中袖t恤中年夏装短袖上衣妈妈装纯棉中老年女装衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/741169077/TB2EEtHnG8lpuFjy0FpXXaGrpXa_!!741169077.jpg,https://item.taobao.com/item.htm?id=546910288760&ns=1&abbucket=0#detail,49.00,1343人付款,浙江 嘉兴,205831903,other/其他,薄,"涤纶,棉",2017年夏季,时尚,纯色,40-49周岁,修身,单件,套头,短款,圆领,常规,,91%(含)-95%(含),纽扣
母亲节新款妈妈装中老年夏装衬衫上衣短袖真丝T恤中年女装桑蚕丝,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1p7fJPVXXXXXxXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546318516030&ns=1&abbucket=0,238.00,1464人付款,浙江 嘉兴,17008 ,Famoushare/名兔 ,适中 ,蚕丝 ,2017年夏季 ,民族风 ,其他 ,40-49周岁 ,直筒 ,单件 ,套头 ,常规 ,立领 ,常规 ,,91%(含)-95%(含) ,
妈妈装夏装短袖T恤中长款中老年女装雪纺衫中年春装上衣大码衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1b_PKQVXXXXbWaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549232677688&ns=1&abbucket=0,138.00,1330人付款,浙江 嘉兴,ER17BA116ZJ ,鄂尔夫人 ,薄 ,其他 ,2017年夏季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,V领 ,常规 ,,96%及以上 ,纽扣 
母亲节衣服夏季妈妈夏装雪纺衬衫2017春新款外套40岁50中老年女装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1nSY7QFXXXXataXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546073720244&ns=1&abbucket=0,119.00,1391人付款,湖北 武汉,Q3234 ,Chophilly＆Co/乔芙丽 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
胖妈妈春装长袖雪纺衬衫女2017夏季新款中老年百搭大码外套女中年,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1uWkdQpXXXXaDaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546344800697&ns=1&abbucket=0,128.00,1409人付款,湖北 武汉,Y3234 ,依尚魅 ,薄 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,衬衫袖 ,单排扣 ,96%及以上 ,纽扣 
中老年妈妈装夏装衬衫 翻领短袖中年女装有领上衣夏天大码时尚T恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1099472592/TB2JSNFgY8kpuFjy0FcXXaUhpXa_!!1099472592.jpg,https://item.taobao.com/item.htm?id=546359830084&ns=1&abbucket=0#detail,23.50,724人付款,北京,802,卡菲玛依,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,开衫,常规,方领,常规,单排扣,81%(含)-90%(含),纽扣
2017中年雪纺短袖裤子套装 夏季宽松女装中老年大码T恤衬衫妈妈装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2024259030/TB2a7lHrdFopuFjSZFHXXbSlXXa_!!2024259030.jpg,https://item.taobao.com/item.htm?id=548722846069&ns=1&abbucket=0#detail,59.90,1037人付款,江苏 苏州,2-08,other/其他,适中,其他,2017年夏季,时尚,大花,40-49周岁,宽松,两件套,套头,常规,立领,常规,单排扣,96%及以上,纱网
两件套老人春夏棉中袖套装中老年人女装衣服奶奶夏季T恤妈妈夏装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1E2iUQFXXXXb3aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548874789875&ns=1&abbucket=0,138.00,837人付款,浙江 嘉兴,CBZ17NQ88001 ,CABENZIOE/卡贝姿 ,薄 ,纯棉 ,2017年夏季 ,知性 ,肌理图案 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,96%及以上 ,绣花 
高端中老年真丝香云纱衬衫女上衣中袖桑蚕丝妈妈装中年女夏装衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1MSDKRXXXXXa6XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528322250290&ns=1&abbucket=0,298.00,1139人付款,浙江 杭州,H16S1003 ,豪太太 ,薄 ,蚕丝 ,2017年夏季 ,高贵 ,花色 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,
母亲节中老年妈妈夏装新款装中年衬衫短袖印花衬衣女中年大妈宽松,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1QawwPVXXXXXPaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546611762974&ns=1&abbucket=0,78.00,1112人付款,浙江 宁波,SHM217-X15 ,水卉曼 ,,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装夏装短袖上衣宽松加肥加大码t恤200斤胖妈妈装纯棉衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/839009236/TB2UsT_g4xmpuFjSZFNXXXrRXXa_!!839009236.jpg,https://item.taobao.com/item.htm?id=545882714403&ns=1&abbucket=0#detail,49.00,1408人付款,北京,,,薄,纯棉,2017年夏季,时尚,纯色,50-59周岁,宽松,单件,开衫,短款,POLO领,,,,
特大码女装200斤胖妈妈装夏装加肥加大衬衫中老年人衬衣老人衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/839009236/TB2z9lDm9FjpuFjSszhXXaBuVXa_!!839009236.jpg,https://item.taobao.com/item.htm?id=545879181372&ns=1&abbucket=0#detail,49.00,796人付款,北京,,,薄,纯棉,2017年夏季,时尚,纯色,50-59周岁,宽松,单件,开衫,中长款,POLO领,常规,单排扣,81%(含)-90%(含),纽扣
